Alabama,Red
Alaska,Red
Arizona,Red
Arkansas,Red
California,Blue
Colorado,Blue
Connecticut,Blue
Delaware,Blue
Florida,Red
Georgia,Red
Hawaii,Blue
Idaho,Red
Illinois,Blue
Indian,Red
Iowa,Red
Kansas,Red
Kentucky,Red
louisiana,Red
Maine,Blue
Maryland,Blue
Massachusetts,Blue
Michigan,Red
Minnesota,Blue
Mississippi,Red
Missouri,Red
Montana,Red
Nebraska,Red
Nevada,Blue
New Hampshire,Blue
New Jersey,Blue
New Mexico,Blue
New York,Blue
North Carolina,Red
North Dakota,Red
Ohio,Red
Oklahoma,Red
Oregon,Blue
Pennsylvania,Red
Rhode Island,Blue
South Carolina,Red
South Dakota,Red
Tennessee,Red
Texas,Red
Utah,Red
Vermont,Blue
Virgina,Blue
Washington,Blue
West Virginia,Red
Wisconsin,Red
Wyoming ,Red
