State,City,Avg In Rain / Year
Utah,Natural Bridges Monument,12.9
Utah,"Blowhard Mountain at 10,694 feet",29.3
Utah,Cedar City,11.3
Utah,Delta,8.6
Utah,Fish Springs Wildlife Refuge,8.2
Utah,Richfield,8.5
Utah,St George,8.8
Utah,Wendover,4.1
Utah,Zion National Park,16.2
Texas,College Station,40.1
Texas,Dallas,37.6
Texas,Denton,38.1
Texas,Fort Worth,37.8
Texas,Killeen,33.1
Texas,McKinney,42.3
Texas,Waco,34.7
Texas,Wichita Falls,28.9
Texas,Austin,34.2
Texas,Choke Canyon Lake Dam,26.4
Texas,Falcon Lake Dam,20.6
Texas,Fredericksburg,31.5
Texas,Kingsville,30.4
Texas,Laredo,20.2
Texas,Midland,14.6
Texas,New Braunfels,34
Texas,San Antonio,32.3
Texas,Lake Fork,43.7
Texas,Longview,48.1
Texas,Lufkin,49
Texas,Sam Rayburn Lake Dam,59.8
Texas,Texarkana,52
Texas,Toledo Bend Reservoir Dam,54.9
Texas,Tyler,46.6
Texas,Aransas Wildlife Refuge,41
Texas,Beaumont,60.4
Texas,Brownsville,27.4
Texas,Corpus Christi,31.8
Texas,Galveston,43.1
Texas,Houston,49.8
Texas,McAllen,22.2
Texas,South Padre Island,25.8
Texas,Victoria,41.2
Texas,Abilene,24.8
Texas,Amarillo,20.4
Texas,Del Rio,19.5
Texas,El Paso,9.7
Texas,Guadalupe Mountains Park,18
Texas,"Lajitas, Big Bend Park",10.9
Texas,Lubbock,19.1
Texas,San Angelo,21.3
Texas,Abilene,149
Tennessee,Bristol,41
Tennessee,Chattanooga,52.5
Tennessee,Crossville,55.1
Tennessee,Dayton,55.5
Tennessee,Gatlinburg,55.3
Tennessee,Greeneville,42.8
Tennessee,Kingsport,43.1
Tennessee,Knoxville,47.9
Tennessee,Lookout Mountain,54.8
Tennessee,Mountain City,46.3
Tennessee,Mousetail Landing Park,55.8
Tennessee,Oak Ridge,55.5
Tennessee,Oneida,53.9
Tennessee,Cheatham Lake Dam,50.3
Tennessee,Clarksville,51
Tennessee,Columbia,55.4
Tennessee,Cookeville,56
Tennessee,Dover,52.7
Tennessee,Monteagle,62.7
Tennessee,Murfreesboro,53.4
Tennessee,Nashville,47.3
Tennessee,Shelbyville,56.3
Tennessee,Dyersburg,51
Tennessee,Jackson,54.2
Tennessee,Martin,52.8
Tennessee,Memphis,53.7
Tennessee,Savannah,58.2
South Dakota,Aberdeen,21.7
South Dakota,Brookings,24.3
South Dakota,Huron,22.9
South Dakota,Mitchell,25.9
South Dakota,Sioux Falls,26.4
South Dakota,Vermillion,27.6
South Dakota,Watertown,21.9
South Dakota,Waubay Wildlife Refuge,22.4
South Dakota,Yankton,27.1
South Dakota,Academy,23.8
South Dakota,Mobridge,16.3
South Dakota,Pickstown,24.2
South Dakota,Pierre,19.9
South Dakota,Custer,19.7
South Dakota,Deadwood,29.8
South Dakota,Hot Springs,17.7
South Dakota,Interior,18.5
South Dakota,Lead,30.5
South Dakota,Lemmon,17.9
South Dakota,Mt. Rushmore National Memorial,21.5
South Dakota,Pactola Reservoir Dam,20.3
South Dakota,Porcupine,18.5
South Dakota,Rapid City,19.8
South Dakota,Spearfish,21.9
South Dakota,Wind Cave National Park,19.7
South Carolina,Beaufort,45.4
South Carolina,Brookgreen Gardens,54.2
South Carolina,Charleston,51
South Carolina,Edisto Island,45.4
South Carolina,Georgetown,56.2
South Carolina,Hilton Head Island,50.3
South Carolina,McClellanville,52.2
