RegionID,RegionName,State,Metro,CountyName,SizeRank,2018-03
41760,Winston-Salem,North Carolina,Winston-Salem,Forsyth,104,128076
52650,Irvine,California,Los Angeles-Long Beach-Anaheim,Orange,105,869423
6752,Richmond,Virginia,Richmond,Richmond City,106,210103
10477,Boca Raton,Florida,Miami-Fort Lauderdale,Palm Beach,107,331975
13150,Oxnard,California,Ventura,Ventura,108,486594
44282,Bradenton,Florida,North Port-Sarasota-Bradenton,Manatee,109,210900
32931,Montgomery,Alabama,Montgomery,Montgomery,110,79154
26967,Santa Rosa,California,Santa Rosa,Sonoma,111,587433
17759,Des Moines,Iowa,Des Moines,Polk,112,134378
13478,Reno,Nevada,Reno,Washoe,113,353447
20604,Spokane,Washington,Spokane,Spokane,114,192717
27362,Tacoma,Washington,Seattle,Pierce,115,285526
11671,Grand Rapids,Michigan,Grand Rapids,Kent,116,145801
6285,Oceanside,California,San Diego,San Diego,117,534707
24821,Gainesville,Florida,Gainesville,Alachua,118,173106
14701,Woodbridge,Virginia,Washington,Prince William,119,317703
53673,Ocala,Florida,Ocala,Marion,120,132232
45457,Glendale,California,Los Angeles-Long Beach-Anaheim,Los Angeles,121,832100
3737,Boise,Idaho,Boise City,Ada,122,253358
24960,Greenville,South Carolina,Greenville,Greenville,123,175296
6909,Salt Lake City,Utah,Salt Lake City,Salt Lake,124,343240
25218,Huntington Beach,California,Los Angeles-Long Beach-Anaheim,Orange,125,821101
30141,Akron,Ohio,Akron,Summit,126,63116
47426,Rockford,Illinois,Rockford,Winnebago,127,84018
54288,Salinas,California,Salinas,Monterey,128,455198
14724,Worcester,Massachusetts,Worcester,Worcester,129,231321
25981,Moreno Valley,California,Riverside,Riverside,130,315855
52998,Little Rock,Arkansas,Little Rock,Pulaski,131,140200
33501,Port Saint Lucie,Florida,Port St. Lucie,Saint Lucie,132,207893
51167,Brownsville,Texas,Brownsville,Cameron,133,85458
26637,Providence,Rhode Island,Providence,Providence,134,202344
